Year,broodline,Harvest,adjusted_AUC
1960,Even,1841896,1350722
1961,Odd,2298218,2198980
1962,Even,6742316,2018010
1963,Odd,5295378,1355740
1964,Even,4206896,1841680
1965,Odd,2460471,975956
1966,Even,2699418,1423170
1967,Odd,2626340,842260
1968,Even,2452168,1156510
1969,Odd,4828579,404570
1970,Even,2809996,979220
1971,Odd,7310964,1112550
1972,Even,54783,641180
1973,Odd,7310964,1225010
1974,Even,54783,958120
1975,Odd,2056878,1265560
1976,Even,448773,712278
1977,Odd,4298734,1517667
1978,Even,3169697,755386
1979,Odd,14433526,2901977
1980,Even,12918874,1095042
1981,Odd,17402547,2166319
1982,Even,14945199,1849118
1983,Odd,9564242,2003106
1984,Even,17631675,3569838
1985,Odd,17590108,2347997
1986,Even,4578023,985934
1987,Odd,11694727,1372217
1988,Even,795772,971164
1989,Odd,3510074,1233676
1990,Even,11687757,1235905
1991,Odd,5818984,1725792
1992,Even,862846,542537
1993,Odd,477302,1065640
1994,Even,3257358,1409281
1995,Odd,2744024,1190184
1996,Even,3016749,1483336
1997,Odd,1163052,1422688
1998,Even,3850411,1420105
1999,Odd,6939831,2462862
2000,Even,5730913,1659028
2001,Odd,6854291,2000386
2002,Even,321468,943177
2003,Odd,4497780,2846732
2004,Even,2938308,2001123
2005,Odd,12296372,4736116
2006,Even,2123901,1190802
2007,Odd,10017855,1509133
2008,Even,1428273,862419
2009,Odd,994708,1829623
2010,Even,2398983,2000408
2011,Odd,5715680,3927419
2012,Even,3302575,1125692
2013,Odd,17281214,4684239
2014,Even,1890021,812376
2015,Odd,25535256,6148422
2016,Even,2182452,1326535
,,,
