Year,Harvest,adjusted_AUC,max_harv,min_harv,min_run,max_run
1970,230661,61550,78.93645345315544,56.656320482245256,292211,407123.1559633027
1971,574265,109770,83.95257552610612,64.59873118137308,684035,888972.5688073394
1972,45370,269190,14.423321464903358,5.552357907716988,314560,817130.3211009174
1973,729839,491270,59.76853827135825,34.13179493652167,1221109,2138296.5688073393
1974,88544,166900,34.66278323233272,15.615077162261063,255444,567041.7064220184
1975,100479,25026,80.05975857535557,58.340737648802765,125505,172227.85321100918
1976,370478,90445,80.37741661839397,58.8264505295121,460923,629781.3256880734
1977,575839,122237,82.48944241028198,62.166227679315476,698076,926289.1146788991
1978,485147,178951,73.05352523272167,48.602447259587066,664098,998194.5917431193
1979,324040,61014,84.15443028769991,64.94237112807812,385054,498965.45871559635
1980,412948,76309,84.40308467737815,65.36844079657416,489257,631723.8027522935
1981,1745869,132341,92.95387629711269,82.147446261694,1878210,2125287.0045871558
1982,1335368,242634,84.62397386061615,65.74951267680392,1578002,2030993
1983,1030546,323865,76.0881298217454,52.60415864577194,1354411,1959058.0412844038
1984,1196785,191112,86.23010208970838,68.59554530261845,1387897,1744697.8440366974
1985,1302090,93787,93.28114153324397,82.88420943118365,1395877,1570974.7477064221
1986,1662366,266265,86.19409311579042,68.53025087792498,1928631,2425740.4266055045
1987,1616850,331879,82.96946368633094,62.95316371870986,1948729,2568337.9587155962
1988,1265442,626566,66.88354383279564,41.3301440049811,1892008,3061789.4770642202
1989,687035,278636,71.14586644933937,46.23768446349889,965671,1485876.743119266
1990,411611,316263,56.54975998593164,31.22219213863813,727874,1318328.3165137614
1991,170286,108499,61.081478558745985,35.376778841732126,278785,481349.64678899077
1992,179741,91411,66.28791231486399,40.682520875449086,271152,441813.8211009174
1993,158498,136842,53.66628292815061,28.774904455668597,295340,550820.2477064219
1994,227404,114512,66.5087331391336,40.92158302223818,341916,555706.752293578
1995,216799,185527,53.88640058062367,28.95673261873794,402326,748699.8027522935
1996,221625,368937,37.52781249047518,17.32315226028696,590562,1279357.2247706421
1997,336103,212128,61.30682139463109,35.594021084840556,548231,944268.1376146788
1998,296630,183999,61.71704162670167,35.99223141839509,480629,824150.0688073394
1999,340699,252388,57.445029144122195,32.01190430534538,593087,1064288.4495412842
2000,463210,397492,53.81769764680458,28.899894416990723,860702,1602808.623853211
2001,456957,446385,50.58516043757514,26.311336018231728,903342,1736730.5091743118
2002,180304,292597,38.1272190162423,17.69123173918777,472901,1019171.5458715596
2003,320755,546436,36.987814679811024,16.99479512663463,867191,1887371.972477064
2004,213848,289742,42.46470342937707,20.47312480293259,503590,1044530.3394495413
2005,66384,245983,21.25192481920305,8.603304489673741,312367,771610.490825688
2006,150464,304695,33.0574590417854,14.69351784673593,455159,1024016.1788990825
2007,117002,323007,26.590819733232728,11.217250490620984,440009,1043054.1788990825
2008,182016,245644,42.56091287471356,20.53729443781816,427660,886270.5871559632
2009,82871,400049,17.16039923796902,6.738572789216874,482920,1229800.4724770642
2010,91872,498041,15.573821902551732,6.045237264328825,589913,1519741.8394495412
2011,101740,455788,18.248410842146047,7.223432569664784,557528,1408471.6513761466
2012,211798,179308,54.15360541643442,29.178539179076086,391106,725869.1009174312
2013,236893,247323,48.92300130520263,25.04256955774838,484216,945961.2339449541
2014,227078,166670,57.67089610613895,32.213469757103184,393748,704916.3027522936
2015,221770,250809,46.92760363875669,23.571677211405856,472579,940832.5
2016,97281,173150,35.97257710839364,16.385623204881668,270431,593697.2844036696
